Date,Open,High,Low,Close,Volume,Open.Interest
31-01-2018 13:42:00,11033.45,11034.8,11032.95,11033.6,8775,26157975
31-01-2018 13:43:00,11033.55,11033.55,11029.6,11031,17100,26157975
31-01-2018 13:44:00,11031,11031,11027.15,11028.1,14850,26157975
31-01-2018 13:45:00,11028.4,11031,11028.4,11029.6,13350,26141400
31-01-2018 13:46:00,11029.6,11033.6,11029,11032.9,22425,26141400
31-01-2018 13:47:00,11032.9,11036,11030.85,11033.6,22575,26141400
31-01-2018 13:48:00,11034,11034,11030,11030.05,8550,26129475
31-01-2018 13:49:00,11030,11031.85,11029,11029.5,18000,26129475
31-01-2018 13:50:00,11029.85,11029.85,11027.45,11027.45,9900,26129475
31-01-2018 13:51:00,11027.25,11028.35,11026,11028.25,12900,26127750
31-01-2018 13:52:00,11027.55,11029.25,11026,11026.6,14850,26127750
31-01-2018 13:53:00,11026.6,11026.6,11023,11023.85,22050,26127750
31-01-2018 13:54:00,11023.85,11023.85,11015.65,11015.65,42375,26111400
31-01-2018 13:55:00,11015.6,11017.2,11011.5,11017.2,52500,26111400
31-01-2018 13:56:00,11017.2,11023.45,11016.2,11021,27000,26111400
31-01-2018 13:57:00,11021.9,11022.9,11020,11021.45,22650,26116425
31-01-2018 13:58:00,11021.45,11026,11021.45,11024,25125,26116425
31-01-2018 13:59:00,11023.8,11025.35,11021,11022.6,22425,26116425
31-01-2018 14:00:00,11022.6,11024.7,11021,11023.45,13500,26106600
31-01-2018 14:01:00,11022.95,11022.95,11017.4,11019.7,22200,26106600
31-01-2018 14:02:00,11019.7,11019.7,11014,11015.65,32025,26106600
31-01-2018 14:03:00,11015.15,11016.25,11007.35,11014,77100,26101425
31-01-2018 14:04:00,11012.55,11016.65,11011,11014,32175,26101425
31-01-2018 14:05:00,11013.8,11018,11012,11017,20700,26101425
31-01-2018 14:06:00,11017,11017,11013,11015.45,32700,26081775
31-01-2018 14:07:00,11015.35,11016.5,11013.15,11016.5,14775,26081775
31-01-2018 14:08:00,11016.5,11022.8,11015.8,11020.8,17100,26081775
31-01-2018 14:09:00,11020.8,11021,11018.4,11019.1,21525,26067750
31-01-2018 14:10:00,11019.05,11022,11018.65,11021.75,12150,26067750
31-01-2018 14:11:00,11022.1,11027,11021.15,11024.55,21675,26067750
31-01-2018 14:12:00,11024,11029,11023.8,11027.8,21450,26046450
31-01-2018 14:13:00,11027.8,11029,11024.7,11024.75,27825,26046450
31-01-2018 14:14:00,11024.4,11030.25,11021.5,11029.3,32025,26046450
31-01-2018 14:15:00,11030.15,11030.15,11024.8,11026.95,16950,26050575
31-01-2018 14:16:00,11025.65,11029,11024,11028,18900,26050575
31-01-2018 14:17:00,11027,11027.75,11025.35,11027.75,17700,26050575
31-01-2018 14:18:00,11026.9,11029.5,11026,11029,16500,26033550
31-01-2018 14:19:00,11029.35,11029.35,11027.05,11027.1,11475,26033550
31-01-2018 14:20:00,11027.1,11029,11026.85,11029,10200,26033550
31-01-2018 14:21:00,11029,11031,11028,11031,19725,26036850
31-01-2018 14:22:00,11031,11035.05,11029.15,11029.15,37950,26036850
31-01-2018 14:23:00,11029,11032,11029,11030.35,10350,26036850
31-01-2018 14:24:00,11030,11030,11021.65,11027.5,28650,26028300
31-01-2018 14:25:00,11026.05,11028.5,11024.9,11028.5,15300,26028300
31-01-2018 14:26:00,11029.5,11030,11026.5,11027.55,9000,26028300
31-01-2018 14:27:00,11027.55,11027.55,11024.7,11026,15750,25984125
31-01-2018 14:28:00,11025.6,11027.7,11021.2,11022.1,18300,25984125
31-01-2018 14:29:00,11021,11022.4,11017.65,11018,45150,25984125
31-01-2018 14:30:00,11018,11021,11018,11020.1,18825,25978275
31-01-2018 14:31:00,11019.1,11024.95,11018.1,11020.3,23550,25978275
31-01-2018 14:32:00,11020.7,11024.85,11019.25,11021,14250,25978275
31-01-2018 14:33:00,11020.4,11021,11018,11018.45,9900,25972350
31-01-2018 14:34:00,11018,11022,11017.65,11020.4,15675,25972350
31-01-2018 14:35:00,11020.45,11020.45,11017.7,11018.7,11775,25972350
31-01-2018 14:36:00,11019,11019.45,11018,11018.95,19275,25969725
31-01-2018 14:37:00,11018.85,11020,11017.15,11019,14025,25969725
31-01-2018 14:38:00,11019,11022.65,11017.6,11020.05,23325,25969725
31-01-2018 14:39:00,11020.95,11032,11020.7,11032,32100,25943850
31-01-2018 14:40:00,11032,11037.9,11031.6,11037,63825,25943850
31-01-2018 14:41:00,11037.9,11049,11036.5,11049,131325,25943850
31-01-2018 14:42:00,11049,11055,11048,11052,166350,25854300
31-01-2018 14:43:00,11052,11053.9,11045,11049,65325,25854300
31-01-2018 14:44:00,11047,11054,11042.45,11054,47250,25854300
31-01-2018 14:45:00,11052.9,11059,11050.85,11055.45,83550,25903125
31-01-2018 14:46:00,11055.8,11056.95,11047.7,11054.95,52050,25903125
31-01-2018 14:47:00,11055,11055,11050.65,11052,24900,25903125
31-01-2018 14:48:00,11052,11053.7,11043,11047.65,60450,25908450
31-01-2018 14:49:00,11048,11057.9,11048,11057.9,54900,25908450
31-01-2018 14:50:00,11057.9,11059,11052,11059,60075,25908450
31-01-2018 14:51:00,11058.05,11059.65,11053,11059,49275,25906125
31-01-2018 14:52:00,11059.7,11065,11053,11054,105750,25906125
31-01-2018 14:53:00,11054,11059.4,11053,11054,62550,25906125
31-01-2018 14:54:00,11056,11057,11053.25,11055.05,47625,25863450
31-01-2018 14:55:00,11056,11059,11053.95,11058.9,28200,25863450
31-01-2018 14:56:00,11057.85,11059.45,11055.55,11057.55,27600,25863450
31-01-2018 14:57:00,11057.55,11059,11055.55,11057.95,27900,25835925
31-01-2018 14:58:00,11057,11058.9,11054.6,11058,20100,25835925
31-01-2018 14:59:00,11057.25,11059.7,11055.1,11056.4,29400,25835925
31-01-2018 15:00:00,11056,11056.15,11047.15,11050,60375,25812675
31-01-2018 15:01:00,11051,11052.45,11048.65,11048.65,23850,25812675
31-01-2018 15:02:00,11049.55,11057.1,11049,11056.5,23175,25812675
31-01-2018 15:03:00,11056.05,11064,11055.1,11060.95,55725,25788900
31-01-2018 15:04:00,11060.95,11062,11056.1,11056.1,34200,25788900
31-01-2018 15:05:00,11058.3,11060,11055.55,11057,26475,25788900
31-01-2018 15:06:00,11057.45,11060,11055.55,11055.55,18675,25794150
31-01-2018 15:07:00,11056.05,11057.65,11054.1,11054.1,15225,25794150
31-01-2018 15:08:00,11054.3,11056,11054.1,11055.9,20625,25794150
31-01-2018 15:09:00,11055.85,11059,11054.7,11057.1,19800,25752675
31-01-2018 15:10:00,11057,11057.8,11054.55,11056.4,20400,25752675
31-01-2018 15:11:00,11056.6,11057,11055.1,11055.1,18675,25752675
31-01-2018 15:12:00,11055.55,11055.55,11050.55,11052.6,47400,25738050
31-01-2018 15:13:00,11053.9,11055,11052,11055,36000,25738050
31-01-2018 15:14:00,11055,11055.45,11053.55,11053.9,41475,25738050
31-01-2018 15:15:00,11054,11057.85,11053.55,11057.7,60000,25706775
31-01-2018 15:16:00,11057.75,11057.95,11055,11057.2,45975,25706775
31-01-2018 15:17:00,11057.7,11058,11056,11056,25875,25706775
31-01-2018 15:18:00,11056,11056,11053.55,11054.25,24900,25680225
31-01-2018 15:19:00,11054.5,11054.75,11052,11052.4,47325,25680225
31-01-2018 15:20:00,11052.6,11052.6,11049.05,11050.85,52575,25680225
31-01-2018 15:21:00,11051,11051,11049,11050,47325,25664025
31-01-2018 15:22:00,11050.85,11051.4,11048,11049.35,51750,25664025
31-01-2018 15:23:00,11049.35,11049.5,11047.65,11048.7,47700,25664025
31-01-2018 15:24:00,11048.35,11051.2,11048,11050.25,39000,25640475
31-01-2018 15:25:00,11051.2,11055,11050,11055,71925,25640475
31-01-2018 15:26:00,11054.6,11058.25,11054.6,11058.1,83925,25640475
31-01-2018 15:27:00,11058.2,11060,11058,11059.7,97275,25621275
31-01-2018 15:28:00,11059.75,11060,11058.6,11059.4,69450,25621275
31-01-2018 15:29:00,11059.75,11062,11058,11059,141225,25621275
31-01-2018 15:30:00,11058.7,11058.7,11058.7,11058.7,3450,25621275
30-01-2018 09:15:00,11097.15,11121,11097.15,11103.05,151275,25590300
30-01-2018 09:16:00,11105,11105,11098.1,11103,100800,25590300
30-01-2018 09:17:00,11103.2,11103.2,11095.4,11097.9,82725,25612200
30-01-2018 09:18:00,11097.9,11105,11096.1,11105,77325,25612200
30-01-2018 09:19:00,11105,11105,11097,11098.65,92775,25612200
30-01-2018 09:20:00,11098.85,11098.85,11090,11096.45,92025,25625400
30-01-2018 09:21:00,11096.9,11096.9,11093.2,11095,53025,25625400
30-01-2018 09:22:00,11095.4,11098.5,11094.25,11098.5,72525,25625400
30-01-2018 09:23:00,11098.5,11098.5,11094,11094,41700,25673850
30-01-2018 09:24:00,11094.75,11096.15,11093.3,11094.5,47175,25673850
30-01-2018 09:25:00,11094.5,11103,11094,11101,63000,25673850
30-01-2018 09:26:00,11101.4,11104.9,11101.4,11102.5,53400,25688025
30-01-2018 09:27:00,11103.5,11103.5,11097.35,11098.2,39525,25688025
30-01-2018 09:28:00,11098.2,11101.4,11097.75,11099.9,41400,25688025
30-01-2018 09:29:00,11100.2,11101.4,11098,11098,22350,25726050
30-01-2018 09:30:00,11098.9,11103,11098.65,11100,25950,25726050
30-01-2018 09:31:00,11100,11102,11099.05,11101,16275,25726050
30-01-2018 09:32:00,11101,11101.5,11098,11099.5,37350,25733475
30-01-2018 09:33:00,11100,11103,11099.5,11103,18225,25733475
30-01-2018 09:34:00,11102.95,11103,11101,11102.95,21150,25733475
30-01-2018 09:35:00,11102.95,11108.4,11102.8,11105.15,33900,25712850
30-01-2018 09:36:00,11106,11106.3,11103.15,11103.9,26925,25712850
30-01-2018 09:37:00,11104,11104,11096.1,11097.05,29250,25712850
30-01-2018 09:38:00,11097,11097.15,11093,11094.6,36975,25722600
30-01-2018 09:39:00,11094,11094,11090,11090.4,43425,25722600
30-01-2018 09:40:00,11090.4,11090.4,11082.35,11083.95,95625,25722600
30-01-2018 09:41:00,11083,11087.8,11082,11083.4,42525,25718100
30-01-2018 09:42:00,11085,11085,11076.05,11082.5,94725,25718100
30-01-2018 09:43:00,11082.05,11082.9,11077.2,11077.75,42825,25718100
30-01-2018 09:44:00,11077,11079.5,11070,11075.7,132600,25748325
30-01-2018 09:45:00,11074.7,11078.4,11071,11077.4,71025,25748325
30-01-2018 09:46:00,11078.95,11078.95,11070.1,11072.2,41475,25748325
30-01-2018 09:47:00,11072.2,11075,11065,11074.95,98475,25795125
30-01-2018 09:48:00,11075,11080.9,11074.95,11079.8,50925,25795125
