1648,genesis-vision,Genesis Vision,40:27.6,GVT
1649,namecoin,Namecoin,40:27.6,NMC
1650,feathercoin,Feathercoin,40:27.6,FTC
1651,jinn,Jinn,40:27.6,JINN
1652,shift,Shift,40:27.6,SHIFT
1653,groestlcoin,Groestlcoin,40:27.6,GRS
1654,salus,Salus,40:27.6,SLS
1655,tokencard,Tokencard,40:27.6,TKN
1656,ink,Ink,40:27.6,INK
1657,spectrecoin,Spectrecoin,40:27.6,XSPEC
1658,mooncoin,Mooncoin,40:27.6,MOON
1659,pura,Pura,40:27.6,PURA
1660,agrello-delta,Agrello Delta,40:27.6,DLT
1661,taas,Taas,40:27.6,TAAS
1662,viberate,Viberate,40:27.6,VIB
1663,latoken,Latoken,40:27.6,LA
1664,monetha,Monetha,40:27.6,MTH
1665,shield-xsh,Shield Xsh,40:27.6,XSH
1666,guppy,Guppy,40:27.6,GUP
1667,grid,Grid,40:27.6,GRID
1668,humaniq,Humaniq,40:27.6,HMQ
1669,lykke,Lykke,40:27.6,LKK
1670,everex,Everex,40:27.6,EVX
1671,domraider,Domraider,40:27.6,DRT
1672,yoyow,Yoyow,40:27.6,YOYOW
1673,adtoken,Adtoken,40:27.6,ADT
1674,synereo,Synereo,40:27.6,AMP
1675,delphy,Delphy,40:27.6,DPY
1676,solarcoin,Solarcoin,40:27.6,SLR
1677,pepe-cash,Pepe Cash,40:27.6,PEPECASH
1678,eccoin,Eccoin,40:27.6,ECC
1679,flash,Flash,40:27.6,FLASH
1680,elastic,Elastic,40:27.6,XEL
1681,mothership,Mothership,40:27.6,MSP
1682,mercury,Mercury,40:27.6,MER
1683,diamond,Diamond,40:27.6,DMD
1684,datum,Datum,40:27.6,DAT
1685,potcoin,Potcoin,40:27.6,POT
1686,pascal-coin,Pascal Coin,40:27.6,PASC
1687,paypex,Paypex,40:27.6,PAYX
1688,crown,Crown,40:27.6,CRW
1689,zeusshield,Zeusshield,40:27.6,ZSC
1690,bitcny,Bitcny,40:27.6,BITCNY
1691,worldcore,Worldcore,40:27.6,WRC
1692,sibcoin,Sibcoin,40:27.6,SIB
1693,blackcoin,Blackcoin,40:27.6,BLK
1694,deeponion,Deeponion,40:27.6,ONION
1695,dimecoin,Dimecoin,40:27.6,DIME
1696,whitecoin,Whitecoin,40:27.6,XWC
1697,blocktix,Blocktix,40:27.6,TIX
1698,nimiq,Nimiq,40:27.6,NET
1699,nolimitcoin,Nolimitcoin,40:27.6,NLC2
1700,ion,Ion,40:27.6,ION
1701,faircoin,Faircoin,40:27.6,FAIR
1702,encrypgen,Encrypgen,40:27.6,DNA
1703,phore,Phore,40:27.6,PHR
1704,moeda-loyalty-points,Moeda Loyalty Points,40:27.6,MDA
1705,gridcoin,Gridcoin,40:27.6,GRC
1706,expanse,Expanse,40:27.6,EXP
1707,dubaicoin-dbix,Dubaicoin Dbix,40:27.6,DBIX
1708,snovio,Snovio,40:27.6,SNOV
1709,vericoin,Vericoin,40:27.6,VRC
1710,bodhi,Bodhi,40:27.6,BOT
1711,newyorkcoin,Newyorkcoin,40:27.6,NYC
1712,golos,Golos,40:27.6,GOLOS
1713,ormeus-coin,Ormeus Coin,40:27.6,ORME
1714,suncontract,Suncontract,40:27.6,SNC
1715,dovu,Dovu,40:27.6,DOVU
1716,clearpoll,Clearpoll,40:27.6,POLL
1717,numeraire,Numeraire,40:27.6,NMR
1718,airtoken,Airtoken,40:27.6,AIR
1719,peerplays-ppy,Peerplays Ppy,40:27.6,PPY
1720,neumark,Neumark,40:27.6,NEU
1721,divi,Divi,40:27.6,DIVX
1722,pandacoin-pnd,Pandacoin Pnd,40:27.6,PND
1723,bean-cash,Bean Cash,40:27.6,BITB
1724,nushares,Nushares,40:27.6,NSR
1725,propy,Propy,40:27.6,PRO
1726,myriad,Myriad,40:27.6,XMY
1727,rivetz,Rivetz,40:27.6,RVT
