,0
932,2516
933,2373
934,2375
935,2387
936,2372
937,2389
938,2388
939,2394
940,2504
941,2424
942,2397
943,2378
944,2379
945,2390
946,2468
947,2407
948,2506
949,2401
950,2396
951,2633
952,2521
953,2386
954,2403
955,2514
956,2411
957,2395
958,2405
959,2410
960,2398
961,2406
962,2408
963,2419
964,2420
965,2415
966,2414
967,2413
968,2422
969,2421
970,2432
971,2423
972,2425
973,2428
974,2430
975,2429
976,2433
977,1667
978,1756
979,2449
980,2436
981,1924
982,2437
983,1964
984,2027
985,2441
986,2448
987,2443
988,2440
989,2444
990,2130
991,2078
992,2442
993,2161
994,2069
995,2138
996,2447
997,2446
998,2445
999,2452
1000,2173
1001,2175
1002,2451
1003,2178
1004,2128
1005,2454
1006,2207
1007,2217
1008,2458
1009,2456
1010,2248
1011,2271
1012,2461
1013,2470
1014,2463
1015,2465
1016,2471
1017,2453
1018,2256
1019,2290
1020,2302
1021,2475
1022,2472
1023,2473
1024,2281
1025,2476
1026,2376
1027,2477
1028,2479
1029,2483
1030,2480
1031,2484
1032,2482
1033,2485
1034,2326
1035,2362
1036,2469
1037,2487
1038,2345
1039,2366
1040,2486
1041,2488
1042,2497
1043,2492
1044,2494
1045,2493
1046,2371
1047,2369
1048,2505
1049,2495
1050,2515
1051,2501
1052,2383
1053,2489
1054,2498
1055,2385
1056,2500
1057,2507
1058,2499
1059,2402
1060,2536
1061,2509
1062,2393
1063,2310
1064,2400
1065,2404
1066,2496
1067,2503
1068,2508
1069,2519
1070,2512
1071,2417
1072,2510
1073,2392
1074,2517
1075,2382
1076,2520
1077,2391
1078,2527
1079,2522
1080,2418
1081,2409
1082,2525
1083,2412
1084,2535
1085,2416
1086,2526
1087,2528
1088,2523
1089,2529
1090,2533
1091,2531
1092,2532
1093,2426
1094,2524
1095,2537
1096,2538
1097,2534
1098,2540
1099,2539
1100,2431
1101,2544
1102,2884
1103,2541
1104,2548
1105,2545
1106,2543
1107,2549
1108,2552
1109,2553
1110,2885
1111,2555
1112,2556
1113,2561
1114,2557
1115,2550
1116,2554
1117,2573
1118,2559
1119,2567
1120,2562
1121,2571
1122,2563
1123,2565
1124,2572
1125,2568
1126,2577
1127,2574
1128,2580
1129,2551
1130,2569
1131,2636
1132,2560
1133,2596
1134,2886
1135,2581
1136,2584
1137,2578
1138,2576
1139,2601
1140,2579
1141,2558
1142,2887
1143,2582
1144,2605
1145,2583
1146,2888
1147,2585
1148,2593
1149,2589
1150,2600
1151,2681
1152,2599
1153,2592
1154,2588
1155,2890
1156,2591
1157,2891
1158,2610
1159,2609
1160,2892
1161,2587
1162,2602
1163,2889
1164,2606
1165,2893
1166,2620
1167,2594
1168,2564
1169,2595
1170,2612
1171,2586
1172,2626
1173,2615
1174,2634
1175,2597
1176,2667
1177,2630
1178,2617
1179,2598
1180,2645
1181,2613
1182,2618
1183,2635
1184,2604
1185,2647
1186,2625
1187,2653
1188,2624
1189,2603
1190,2628
1191,2641
1192,2632
1193,2646
1194,2614
1195,2611
1196,2894
1197,2638
1198,2639
1199,2640
1200,2654
1201,2629
1202,2616
1203,2895
1204,2652
1205,2666
1206,2608
1207,2896
1208,2644
1209,2619
1210,2669
1211,2637
1212,2642
1213,2627
1214,2631
1215,2663
1216,2656
1217,2670
1218,2664
1219,2648
1220,2661
1221,2674
1222,2651
1223,2658
1224,2659
1225,2621
1226,2706
1227,2657
1228,2673
1229,2757
1230,2662
1231,2699
1232,2672
1233,2643
1234,2763
1235,2655
1236,2703
1237,2738
1238,2679
1239,2728
1240,2677
1241,2897
1242,2733
1243,2680
1244,2734
1245,2623
1246,2684
1247,2811
1248,2752
1249,2692
1250,2690
1251,2678
1252,2731
1253,2696
1254,2760
1255,2718
1256,2665
1257,2779
1258,2622
1259,2685
1260,2762
1261,2723
1262,2688
1263,2722
1264,2694
1265,2772
1266,2689
1267,2675
1268,2714
1269,2687
1270,2701
1271,2704
1272,2795
1273,2771
1274,2773
1275,2800
1276,2713
1277,2744
1278,2650
1279,2676
1280,2668
1281,2709
1282,2721
1283,2765
1284,2697
1285,2700
1286,2749
1287,2880
1288,2712
1289,2759
1290,2735
1291,2702
1292,2719
1293,2686
1294,2755
1295,2743
1296,2695
1297,2693
1298,2727
1299,2750
1300,2715
1301,2730
1302,2739
1303,2742
1304,2683
1305,2748
1306,2691
1307,2732
1308,2729
1309,2720
1310,2788
1311,2761
1312,2710
1313,2756
1314,2789
1315,2753
1316,2724
1317,2737
1318,2725
1319,2726
1320,2785
1321,2768
1322,2770
1323,2716
1324,2747
1325,2806
1326,2801
1327,2822
1328,2813
1329,2798
1330,2682
1331,2780
1332,2708
1333,2898
1334,2826
1335,2736
1336,2839
1337,2746
1338,2818
1339,2698
1340,2837
1341,2783
1342,2796
1343,2740
1344,2769
1345,2717
1346,2786
1347,2815
1348,2778
1349,2825
1350,2766
1351,2758
1352,2711
1353,2745
1354,2808
1355,2754
1356,2794
1357,2841
1358,2852
1359,2844
1360,2777
1361,2792
1362,2840
1363,2807
1364,2845
1365,2832
1366,2705
1367,2764
1368,2827
1369,2858
1370,2804
1371,2831
1372,2791
1373,2803
1374,2805
1375,2776
1376,2797
1377,2817
1378,2857
1379,2814
1380,2809
1381,2802
1382,2781
1383,2774
1384,2834
1385,2830
1386,2787
1387,2871
1388,2767
1389,2751
1390,2823
1391,2790
1392,2833
1393,2836
1394,2816
1395,2843
1396,2820
1397,2829
1398,2828
1399,2849
1400,2859
1401,2799
1402,2846
1403,2835
1404,2810
1405,2850
1406,2782
1407,2812
1408,2784
1409,2855
1410,2819
1411,2851
1412,2867
1413,2853
1414,2866
1415,2856
1416,2793
1417,2854
1418,2870
1419,2863
1420,2821
1421,2860
1422,2824
1423,2862
1424,2842
1425,2590
1426,2707
1427,2838
1428,2861
1429,2868
1430,2869
1431,2741
1432,2848
1433,2873
1434,2874
1435,2875
1436,2876
1437,2775
1438,2847
1439,2879
1440,2881
1441,2882
1442,2899
1443,2900
1444,2901
1445,2902
1446,2903
1447,2904
1448,2905
1449,2906
1450,2907
1451,2908
1452,2909
1453,2910
1454,2911
1455,2912
1456,2913
1457,2914
1458,2915
1459,2916
1460,2917
1461,2918
1462,2919
1463,2920
1464,2921
1465,2922
1466,2923
1467,2924
1468,2925
1469,2865
1470,2926
1471,2927
1472,2928
1473,2929
1474,2930
1475,2931
1476,2932
1477,2933
1478,2934
1479,2935
1480,2936
1481,2937
1482,2938
1483,2939
1484,2940
1485,2941
1486,2942
1487,2943
1488,2944
1489,2945
1490,2946
1491,2947
1492,2948
1493,2949
1494,2950
1495,2951
1496,2952
1497,2953
1498,2954
1499,2955
1500,2956
1501,2957
1502,2958
1503,2872
1504,2959
1505,2960
1506,2961
1507,2434
1508,2962
1509,2963
1510,2964
1511,2965
1512,2966
1513,2967
1514,2968
1515,2969
1516,2970
1517,2971
1518,2972
1519,2973
1520,2974
1521,2975
1522,2976
1523,2977
1524,2978
1525,2979
1526,2980
1527,2981
1528,2982
1529,2983
1530,2984
1531,2985
1532,2986
1533,2987
1534,2988
1535,2989
1536,2990
1537,2991
1538,2992
1539,2993
1540,2994
1541,2995
1542,2996
1543,2997
1544,2459
1545,2998
1546,2466
1547,2999
1548,3000
1549,3001
1550,3002
1551,3003
1552,3004
1553,3005
1554,3006
1555,3007
1556,3008
1557,3009
1558,3010
1559,3011
1560,3012
1561,3013
1562,3014
1563,3015
1564,3016
1565,3017
1566,3018
1567,3019
1568,3020
1569,3021
1570,3022
1571,3023
1572,3024
1573,3025
1574,3026
1575,3027
1576,2864
1577,3028
1578,3029
1579,3030
1580,3031
1581,3032
1582,3033
1583,3034
1584,3035
1585,3036
1586,3037
1587,3038
1588,3039
1589,3040
1590,3041
1591,3042
1592,3043
1593,3044
1594,3045
1595,3046
1596,3047
1597,3048
1598,3049
1599,3050
1600,3051
1601,3052
1602,3053
1603,3054
1604,3055
1605,3056
1606,3057
1607,3058
1608,3059
1609,3060
1610,3061
1611,3062
1612,3063
1613,3064
1614,3065
1615,3066
1616,3067
1617,3068
1618,3069
1619,3070
1620,3071
1621,3072
1622,3073
1623,3074
1624,3075
1625,3076
1626,3077
1627,3078
1628,3079
1629,3080
1630,3081
1631,3082
1632,3083
1633,3084
1634,3085
1635,3086
1636,3087
1637,3088
1638,3089
1639,3090
1640,3091
1641,3092
1642,3093
1643,3094
1644,3095
1645,3096
1646,3097
1647,3098
1648,3099
1649,3100
1650,3101
1651,3102
1652,3103
1653,3104
1654,3105
1655,3106
1656,3107
1657,3108
1658,3109
1659,3110
1660,3111
1661,3112
1662,3113
1663,3114
1664,3115
1665,3116
1666,3117
1667,3118
1668,3119
1669,3120
1670,3121
1671,3122
1672,3123
1673,3124
1674,3125
1675,3126
1676,3127
1677,3128
